country_name,Year,urbanization,gdp_per_cap,inflation,gdp_current,unemployment,literacy_adult,health_exp,literacy_youth,life_exp,re_consumption,ff_consumption,energy_use
Canada,1971,76.09,4520.1628781257,2.70491803278688,99271961774.6088,6.40000009536743,81.22848901373266,6.2044559082672714,88.20511222025547,73.0292682926829,30.49715847467212,84.1541542986894,6436.22625629541
Afghanistan,1971,12.021,166.224831269243,25.565203604580574,1831108971.11111,8.118803173433337,81.22848901373266,6.2044559082672714,88.20511222025547,37.923,30.49715847467212,65.53970512964571,2326.432009376933
Albania,1971,31.933,10212.316585517958,25.565203604580574,206332249268.0732,8.118803173433337,81.22848901373266,6.2044559082672714,88.20511222025547,65.618,30.49715847467212,74.6607032875427,785.161525934329
Algeria,1971,39.665,359.82458217668,2.62664165105633,5077222366.97472,8.118803173433337,81.22848901373266,6.2044559082672714,88.20511222025547,43.67,30.49715847467212,98.9998155557243,245.527601844075
American Samoa,1971,70.784,10212.316585517958,25.565203604580574,206332249268.0732,8.118803173433337,81.22848901373266,6.2044559082672714,88.20511222025547,66.29414857279322,30.49715847467212,65.53970512964571,2326.432009376933
Andorra,1971,81.78,4193.31302688685,25.565203604580574,89409820.3592814,8.118803173433337,81.22848901373266,6.2044559082672714,88.20511222025547,66.29414857279322,30.49715847467212,65.53970512964571,2326.432009376933
Angola,1971,15.632,10212.316585517958,25.565203604580574,206332249268.0732,8.118803173433337,81.22848901373266,6.2044559082672714,88.20511222025547,40.554,30.49715847467212,15.834196369121,623.396058538632
Antigua and Barbuda,1971,33.898,10212.316585517958,25.565203604580574,206332249268.0732,8.118803173433337,81.22848901373266,6.2044559082672714,88.20511222025547,70.683,30.49715847467212,65.53970512964571,2326.432009376933
Argentina,1971,79.321,1374.42423270049,25.565203604580574,33293199095.4881,6.0,81.22848901373266,6.2044559082672714,88.20511222025547,65.541,30.49715847467212,92.8843965417758,1389.0769326608
Armenia,1971,60.657,10212.316585517958,25.565203604580574,206332249268.0732,8.118803173433337,81.22848901373266,6.2044559082672714,88.20511222025547,64.208,30.49715847467212,65.53970512964571,2326.432009376933
Aruba,1971,50.609,10212.316585517958,25.565203604580574,206332249268.0732,8.118803173433337,81.22848901373266,6.2044559082672714,88.20511222025547,67.975,30.49715847467212,65.53970512964571,2326.432009376933
Australia,1971,84.16,3494.97330953499,6.13810741687979,45214469705.4541,8.118803173433337,81.22848901373266,6.2044559082672714,88.20511222025547,71.0682926829268,30.49715847467212,91.1777751858804,3989.6297441447
Austria,1971,65.301,2380.97845801742,4.704258138287,17858486066.7474,1.5,81.22848901373266,6.2044559082672714,88.20511222025547,70.1146341463415,30.49715847467212,90.1996936930923,2508.5209190556
Azerbaijan,1971,50.462,10212.316585517958,25.565203604580574,206332249268.0732,8.118803173433337,81.22848901373266,6.2044559082672714,88.20511222025547,59.353,30.49715847467212,65.53970512964571,2326.432009376933
"Bahamas, The",1971,67.429,3108.95437416976,4.61497182668252,573400000.0,8.118803173433337,81.22848901373266,6.2044559082672714,88.20511222025547,66.151,30.49715847467212,65.53970512964571,2326.432009376933
Bahrain,1971,84.021,10212.316585517958,5.78947368498401,206332249268.0732,8.118803173433337,81.22848901373266,6.2044559082672714,88.20511222025547,65.607,30.49715847467212,65.53970512964571,6099.05970769551
Bangladesh,1971,7.901,127.995447653055,25.565203604580574,8751842839.79658,8.118803173433337,81.22848901373266,6.2044559082672714,88.20511222025547,25.996,30.49715847467212,21.3797084279832,83.1556545607592
Barbados,1971,37.809,10212.316585517958,7.46925566353862,206332249268.0732,8.118803173433337,81.22848901373266,6.2044559082672714,88.20511222025547,68.598,30.49715847467212,65.53970512964571,2326.432009376933
Belarus,1971,45.349,10212.316585517958,25.565203604580574,206332249268.0732,8.118803173433337,81.22848901373266,6.2044559082672714,88.20511222025547,71.0117073170732,30.49715847467212,65.53970512964571,2326.432009376933
Belgium,1971,93.976,3082.92798879126,4.34362854612099,29821661869.912,2.09999990463257,81.22848901373266,6.2044559082672714,88.20511222025547,71.0604878048781,30.49715847467212,65.53970512964571,4099.95531967727
Belize,1971,50.805,481.004436337106,25.565203604580574,59207317.0731707,8.118803173433337,81.22848901373266,6.2044559082672714,88.20511222025547,64.204,30.49715847467212,65.53970512964571,2326.432009376933
Benin,1971,17.647,108.494701662705,25.565203604580574,335072975.215766,8.118803173433337,81.22848901373266,6.2044559082672714,88.20511222025547,42.581,30.49715847467212,9.04045148410195,357.78551933845
Bermuda,1971,100.0,3866.30036630037,25.565203604580574,211100000.0,8.118803173433337,81.22848901373266,6.2044559082672714,88.20511222025547,66.29414857279322,30.49715847467212,65.53970512964571,2326.432009376933
Bhutan,1971,6.413,10212.316585517958,25.565203604580574,206332249268.0732,8.118803173433337,81.22848901373266,6.2044559082672714,88.20511222025547,40.753,30.49715847467212,65.53970512964571,2326.432009376933
Bolivia,1971,40.082,233.694645723653,3.67461430575034,1095622895.6229,9.0,81.22848901373266,6.2044559082672714,88.20511222025547,47.061,30.49715847467212,73.3669986165489,217.7000584651
Bosnia and Herzegovina,1971,28.094,10212.316585517958,25.565203604580574,206332249268.0732,8.118803173433337,81.22848901373266,6.2044559082672714,88.20511222025547,67.163,30.49715847467212,65.53970512964571,2326.432009376933
Botswana,1971,8.998,210.972119198924,25.565203604580574,127456485.120719,8.118803173433337,81.22848901373266,6.2044559082672714,88.20511222025547,55.745,30.49715847467212,65.53970512964571,2326.432009376933
